model_family,model_key,mode,feature_bundle,repeat,fold,n_train,n_val,decision_threshold,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed
XGBoost,xgboost,single,low_plus_medium,2,1,2465,617,0.5,0.8849270664505673,0.9081803005008348,0.9714285714285714,0.9387402933563417,0.1111111111111111,0.03508771929824561,0.05333333333333334,0.13826941271775078
XGBoost,xgboost,two-stage,low_plus_medium,2,1,2465,617,0.5,0.8962722852512156,0.9092409240924092,0.9839285714285714,0.9451114922813036,0.18181818181818182,0.03508771929824561,0.058823529411764705,0.10641857170866055
LogisticRegression,lr,single,low_plus_medium,2,2,2465,617,0.5,0.6564019448946515,0.935,0.6678571428571428,0.7791666666666667,0.14285714285714285,0.543859649122807,0.22627737226277372,0.18215052739496806
LogisticRegression,lr,two-stage,low_plus_medium,2,2,2465,617,0.5,0.6807131280388979,0.9331742243436754,0.6982142857142857,0.7987742594484167,0.14646464646464646,0.5087719298245614,0.22745098039215686,0.12974095406828196
LightGBM,lightgbm,single,low_plus_medium,2,2,2465,617,0.5,0.873581847649919,0.9070945945945946,0.9589285714285715,0.9322916666666666,0.08,0.03508771929824561,0.04878048780487805,0.13516840694941346
LightGBM,lightgbm,two-stage,low_plus_medium,2,2,2465,617,0.5,0.8865478119935171,0.9096989966555183,0.9714285714285714,0.9395509499136442,0.15789473684210525,0.05263157894736842,0.07894736842105263,0.1109650975078467
RandomForest,rf,single,low_plus_medium,2,2,2465,617,0.5,0.8719611021069692,0.9083191850594228,0.9553571428571429,0.9312445604873804,0.10714285714285714,0.05263157894736842,0.07058823529411765,0.1387125327220792
XGBoost,xgboost,single,low_plus_medium,2,2,2465,617,0.5,0.8719611021069692,0.9069373942470389,0.9571428571428572,0.9313640312771503,0.07692307692307693,0.03508771929824561,0.04819277108433735,0.15899389978984332
XGBoost,xgboost,two-stage,low_plus_medium,2,2,2465,617,0.5,0.8897893030794165,0.91,0.975,0.9413793103448276,0.17647058823529413,0.05263157894736842,0.08108108108108109,0.1176508509981255
LogisticRegression,lr,single,low_plus_medium,2,3,2466,616,0.5,0.5714285714285714,0.9352941176470588,0.5678571428571428,0.7066666666666667,0.12318840579710146,0.6071428571428571,0.20481927710843373,0.11630964544187765
LogisticRegression,lr,two-stage,low_plus_medium,2,3,2466,616,0.5,0.6866883116883117,0.9400479616306955,0.7,0.8024564994882293,0.15577889447236182,0.5535714285714286,0.24313725490196078,0.13451734429128293
LightGBM,lightgbm,single,low_plus_medium,2,3,2466,616,0.5,0.827922077922078,0.9203703703703704,0.8875,0.9036363636363637,0.17105263157894737,0.23214285714285715,0.19696969696969696,0.12881549383714885
LightGBM,lightgbm,two-stage,low_plus_medium,2,3,2466,616,0.5,0.8766233766233766,0.9230769230769231,0.9428571428571428,0.9328621908127208,0.2727272727272727,0.21428571428571427,0.24,0.14121856136899064
RandomForest,rf,single,low_plus_medium,2,3,2466,616,0.5,0.8668831168831169,0.9064625850340136,0.9517857142857142,0.9285714285714286,0.03571428571428571,0.017857142857142856,0.023809523809523808,0.12012062891209893
XGBoost,xgboost,single,low_plus_medium,2,3,2466,616,0.5,0.8798701298701299,0.9090909090909091,0.9642857142857143,0.9358752166377816,0.09090909090909091,0.03571428571428571,0.05128205128205128,0.1554126907885796
XGBoost,xgboost,two-stage,low_plus_medium,2,3,2466,616,0.5,0.8896103896103896,0.9086378737541528,0.9767857142857143,0.9414802065404475,0.07142857142857142,0.017857142857142856,0.02857142857142857,0.09787088190625769
LogisticRegression,lr,single,low_plus_medium,2,4,2466,616,0.5,0.6217532467532467,0.9455040871934605,0.6196428571428572,0.7486515641855448,0.14457831325301204,0.6428571428571429,0.2360655737704918,0.1163345316351565
LogisticRegression,lr,two-stage,low_plus_medium,2,4,2466,616,0.5,0.6915584415584416,0.9363207547169812,0.7089285714285715,0.806910569105691,0.15104166666666666,0.5178571428571429,0.23387096774193547,0.11895359596862398
LightGBM,lightgbm,single,low_plus_medium,2,4,2466,616,0.5,0.875,0.9058823529411765,0.9625,0.9333333333333333,0.0,0.0,0.0,0.12112101835484508
LightGBM,lightgbm,two-stage,low_plus_medium,2,4,2466,616,0.5,0.8863636363636364,0.9069767441860465,0.975,0.9397590361445783,0.0,0.0,0.0,0.08575048224171614
RandomForest,rf,single,low_plus_medium,2,4,2466,616,0.5,0.8782467532467533,0.907563025210084,0.9642857142857143,0.935064935064935,0.047619047619047616,0.017857142857142856,0.025974025974025976,0.12421129121105143
XGBoost,xgboost,single,low_plus_medium,2,4,2466,616,0.5,0.8782467532467533,0.9061976549413735,0.9660714285714286,0.9351771823681936,0.0,0.0,0.0,0.12681218579629996
XGBoost,xgboost,two-stage,low_plus_medium,2,4,2466,616,0.5,0.8944805194805194,0.9077429983525536,0.9839285714285714,0.9443016281062554,0.0,0.0,0.0,0.08605434120914848
LogisticRegression,lr,single,low_plus_medium,2,5,2466,616,0.5,0.6233766233766234,0.9361702127659575,0.6285714285714286,0.7521367521367521,0.13333333333333333,0.5714285714285714,0.21621621621621623,0.11949287094497438
LogisticRegression,lr,two-stage,low_plus_medium,2,5,2466,616,0.5,0.685064935064935,0.9295774647887324,0.7071428571428572,0.8032454361054767,0.1368421052631579,0.4642857142857143,0.21138211382113822,0.12168363502773544
LightGBM,lightgbm,single,low_plus_medium,2,5,2466,616,0.5,0.8831168831168831,0.9121621621621622,0.9642857142857143,0.9375,0.16666666666666666,0.07142857142857142,0.1,0.14787181609957215
LightGBM,lightgbm,two-stage,low_plus_medium,2,5,2466,616,0.5,0.8928571428571429,0.9102990033222591,0.9785714285714285,0.9432013769363167,0.14285714285714285,0.03571428571428571,0.05714285714285714,0.09159760467928083
RandomForest,rf,single,low_plus_medium,2,5,2466,616,0.5,0.875,0.9114139693356048,0.9553571428571429,0.932868352223191,0.13793103448275862,0.07142857142857142,0.09411764705882353,0.13570123638916626
XGBoost,xgboost,single,low_plus_medium,2,5,2466,616,0.5,0.8928571428571429,0.9130434782608695,0.975,0.9430051813471503,0.2222222222222222,0.07142857142857142,0.10810810810810811,0.1400371990556847
XGBoost,xgboost,two-stage,low_plus_medium,2,5,2466,616,0.5,0.8961038961038961,0.9105960264900662,0.9821428571428571,0.9450171821305842,0.16666666666666666,0.03571428571428571,0.058823529411764705,0.09709274140080876
