repeat,fold,n_features,accuracy,open_precision,open_recall,open_f1,closed_precision,closed_recall,closed_f1,pr_auc_closed,model_key,mode,gate_type,selected_trial,feature_bundle,variant
2,4,31,0.862012987012987,0.9233511586452763,0.925,0.9241748438893844,0.23636363636363636,0.23214285714285715,0.23423423423423423,0.26135454271912223,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
2,5,31,0.8766233766233766,0.9245614035087719,0.9410714285714286,0.9327433628318584,0.2826086956521739,0.23214285714285715,0.2549019607843137,0.20644739389419703,lr,two-stage,diagnostic,37,v2_lr2,minus_spatial
1,1,29,0.873581847649919,0.9198606271777003,0.9428571428571428,0.9312169312169312,0.2558139534883721,0.19298245614035087,0.22,0.21518630041468442,lr,two-stage,diagnostic,37,v2_lr2,minus_category
1,2,29,0.8703403565640194,0.9195804195804196,0.9392857142857143,0.9293286219081273,0.24444444444444444,0.19298245614035087,0.21568627450980393,0.19789485185960065,lr,two-stage,diagnostic,37,v2_lr2,minus_category
1,3,29,0.8782467532467533,0.918825561312608,0.95,0.9341527655838455,0.24324324324324326,0.16071428571428573,0.1935483870967742,0.17704264501027137,lr,two-stage,diagnostic,37,v2_lr2,minus_category
1,4,29,0.8652597402597403,0.9191564147627417,0.9339285714285714,0.9264836138175376,0.2127659574468085,0.17857142857142858,0.1941747572815534,0.17840330129278403,lr,two-stage,diagnostic,37,v2_lr2,minus_category
1,5,29,0.8636363636363636,0.9175438596491228,0.9339285714285714,0.9256637168141593,0.1956521739130435,0.16071428571428573,0.17647058823529413,0.1689463738043557,lr,two-stage,diagnostic,37,v2_lr2,minus_category
2,1,29,0.8654781199351702,0.9147826086956522,0.9392857142857143,0.9268722466960353,0.19047619047619047,0.14035087719298245,0.16161616161616163,0.1313089621417342,lr,two-stage,diagnostic,37,v2_lr2,minus_category
2,2,29,0.880064829821718,0.916095890410959,0.9553571428571429,0.9353146853146853,0.24242424242424243,0.14035087719298245,0.17777777777777778,0.18824608117369984,lr,two-stage,diagnostic,37,v2_lr2,minus_category
2,3,29,0.8944805194805194,0.9216354344122658,0.9660714285714286,0.9433304272013949,0.3448275862068966,0.17857142857142858,0.23529411764705882,0.22741855932450886,lr,two-stage,diagnostic,37,v2_lr2,minus_category
2,4,29,0.8603896103896104,0.9232142857142858,0.9232142857142858,0.9232142857142858,0.23214285714285715,0.23214285714285715,0.23214285714285715,0.21470929851599366,lr,two-stage,diagnostic,37,v2_lr2,minus_category
2,5,29,0.8685064935064936,0.9238938053097345,0.9321428571428572,0.928,0.2549019607843137,0.23214285714285715,0.24299065420560748,0.21308522146782669,lr,two-stage,diagnostic,37,v2_lr2,minus_category
1,1,30,0.8816855753646677,0.924956369982548,0.9464285714285714,0.9355692850838482,0.3181818181818182,0.24561403508771928,0.27722772277227725,0.21897722327007968,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
1,2,30,0.8784440842787682,0.9202772963604853,0.9482142857142857,0.9340369393139841,0.275,0.19298245614035087,0.2268041237113402,0.18864094962950706,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
1,3,30,0.8831168831168831,0.9206896551724137,0.9535714285714286,0.9368421052631579,0.2777777777777778,0.17857142857142858,0.21739130434782608,0.1837455479158285,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
1,4,30,0.8636363636363636,0.9175438596491228,0.9339285714285714,0.9256637168141593,0.1956521739130435,0.16071428571428573,0.17647058823529413,0.1709433899648357,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
1,5,30,0.8685064935064936,0.9179755671902269,0.9392857142857143,0.9285083848190644,0.20930232558139536,0.16071428571428573,0.18181818181818182,0.16360427992872584,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
2,1,30,0.8573743922204214,0.9140350877192982,0.9303571428571429,0.9221238938053097,0.1702127659574468,0.14035087719298245,0.15384615384615385,0.13268498675857024,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
2,2,30,0.8833063209076175,0.9178082191780822,0.9571428571428572,0.9370629370629371,0.2727272727272727,0.15789473684210525,0.2,0.1857186182377259,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
2,3,30,0.8977272727272727,0.927710843373494,0.9625,0.9447852760736196,0.4,0.25,0.3076923076923077,0.23223239515282032,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
2,4,30,0.8636363636363636,0.9234875444839857,0.9267857142857143,0.9251336898395722,0.24074074074074073,0.23214285714285715,0.23636363636363636,0.24675121137657963,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
2,5,30,0.875,0.9244288224956063,0.9392857142857143,0.9317980513728964,0.2765957446808511,0.23214285714285715,0.2524271844660194,0.19981855052876824,lr,two-stage,diagnostic,37,v2_lr2,minus_source_provenance
1,1,28,0.893030794165316,0.9172297297297297,0.9696428571428571,0.9427083333333334,0.32,0.14035087719298245,0.1951219512195122,0.20549958207929367,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
1,2,28,0.8784440842787682,0.918825561312608,0.95,0.9341527655838455,0.2631578947368421,0.17543859649122806,0.21052631578947367,0.16416013758089681,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
1,3,28,0.900974025974026,0.9250425894378195,0.9696428571428571,0.946817785527463,0.41379310344827586,0.21428571428571427,0.2823529411764706,0.23041395791267272,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
1,4,28,0.8733766233766234,0.9140893470790378,0.95,0.9316987740805605,0.17647058823529413,0.10714285714285714,0.13333333333333333,0.1543242682036369,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
1,5,28,0.8896103896103896,0.9183673469387755,0.9642857142857143,0.9407665505226481,0.2857142857142857,0.14285714285714285,0.19047619047619047,0.17047302732506214,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
2,1,28,0.8719611021069692,0.9125214408233276,0.95,0.9308836395450568,0.17647058823529413,0.10526315789473684,0.13186813186813187,0.14540393483292044,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
2,2,28,0.8881685575364667,0.9196581196581196,0.9607142857142857,0.9397379912663756,0.3125,0.17543859649122806,0.2247191011235955,0.17559602582581524,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
2,3,28,0.9058441558441559,0.919732441471572,0.9821428571428571,0.9499136442141624,0.4444444444444444,0.14285714285714285,0.21621621621621623,0.2346742655965554,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
2,4,28,0.887987012987013,0.9210977701543739,0.9589285714285715,0.9396325459317585,0.30303030303030304,0.17857142857142858,0.2247191011235955,0.22758083733591383,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
2,5,28,0.8847402597402597,0.9193825042881647,0.9571428571428572,0.9378827646544182,0.2727272727272727,0.16071428571428573,0.20224719101123595,0.18843653086964288,lr,two-stage,diagnostic,37,v2_lr2,minus_temporal
1,1,19,0.893030794165316,0.9130434782608695,0.975,0.9430051813471503,0.2631578947368421,0.08771929824561403,0.13157894736842105,0.17260419759885,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
1,2,19,0.8881685575364667,0.9139966273187183,0.9678571428571429,0.9401561144839549,0.25,0.10526315789473684,0.14814814814814814,0.16696452098334036,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
1,3,19,0.8814935064935064,0.9092436974789916,0.9660714285714286,0.9367965367965368,0.09523809523809523,0.03571428571428571,0.05194805194805195,0.13310894607063692,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
1,4,19,0.8896103896103896,0.9169491525423729,0.9660714285714286,0.9408695652173913,0.2692307692307692,0.125,0.17073170731707318,0.1514718468114206,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
1,5,19,0.8798701298701299,0.911864406779661,0.9607142857142857,0.9356521739130435,0.15384615384615385,0.07142857142857142,0.0975609756097561,0.12486401376425357,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
2,1,19,0.8784440842787682,0.9089376053962901,0.9625,0.9349522983521249,0.125,0.05263157894736842,0.07407407407407407,0.1251136650206787,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
2,2,19,0.8914100486223663,0.9087893864013267,0.9785714285714285,0.942390369733448,0.14285714285714285,0.03508771929824561,0.056338028169014086,0.15212092434576724,lr,two-stage,diagnostic,37,v2_lr2,minus_completeness_contact
